C I R C L E,   C Y L I N D E R,   S P H E R E   C A L C U L A T I O N S

                               by Artem Murzo


Object Name      Radius     Circumf        Area      Height      Volume
-----------      ------     -------        ----      ------      ------
  2D Circle       1.000       6.280       3.140
   Cylinder       1.000       6.280      12.560       1.000       3.140
     Sphere       1.000       6.280      12.560       2.000       4.187
  2D Circle       3.140      19.719      30.959
   Cylinder       3.140      19.719      81.637       1.000      30.959
     Sphere       3.140      19.719     123.837       6.280     129.616
   Cylinder       3.140      19.719      64.735       0.143       4.423
     Sphere       0.071       0.449       0.064       0.143       0.002
   Cylinder       2.503      15.722     151.206       7.114     140.003
     Sphere       2.503      15.722      78.720       5.007      65.692
   Cylinder       5.810      36.487     658.587      12.240    1297.368
     Sphere       5.810      36.487     423.977      11.620     821.101
   Cylinder      25.330     159.072    5317.631       8.099   16316.666
     Sphere      25.330     159.072    8058.608      50.660   68041.512
   Cylinder       7.002      43.973     324.957       0.388      59.732
     Sphere       7.002      43.973     615.792      14.004    1437.258
   Cylinder      18.290     114.861    2326.399       1.964    2062.997
     Sphere      18.290     114.861    4201.623      36.580   25615.893
   Cylinder      46.730     293.464   15658.380       6.627   45439.985
     Sphere      46.730     293.464   27427.183      93.460  427224.084
   Cylinder       3.894      24.453     578.261      19.754     940.442
     Sphere       3.894      24.453     190.431       7.788     247.166

